frame,x,y,z,r1,r2,r3,r4,r5,r6,r7,r8,r9
48,-1.5597305297851562,-202.97799682617188,-1491.7152099609375,0.25330446451058614,-0.8115157197473314,-0.52657296252464,0.50512169546959,-0.3532773877036394,0.7874307335272223,-0.8250387391055841,-0.4654431479141821,0.3204274567430276
49,12.558059692382812,-206.94595336914062,-1488.57080078125,0.1854227672205631,-0.8357681340670882,-0.5168268795973042,0.4940622035316504,-0.375345022186586,0.7842312499264494,-0.8494238850172031,-0.40075895548043444,0.343323933282421
50,34.71919250488281,-206.15509033203125,-1479.360107421875,0.04146870295417726,-0.8581984213915722,-0.5116403191660246,0.4801379532491122,-0.431961004453903,0.7634639719599926,-0.8762122417114768,-0.2773177963135228,0.39414077094708166
51,104.04801940917969,-202.34573364257812,-1446.9532470703125,-0.365762960233751,-0.8179496121129228,-0.44404491773396354,0.37978949042017596,-0.5667461704940407,0.731135227708748,-0.8496925325595291,0.0987785921880783,0.51794342339479
52,105.48817443847656,-205.33975219726562,-1444.2071533203125,-0.3781224564959602,-0.8154826587828944,-0.4381911011394937,0.3918299251562375,-0.5698235686439159,0.7223367707447611,-0.8387447273429013,0.1014353678077512,0.5349935967020429
53,106.11347961425781,-203.42697143554688,-1446.3350830078125,-0.3903114161997244,-0.8062386333304352,-0.44456300398215487,0.3826974566206086,-0.5812439480835602,0.7181212498682608,-0.8373766506658057,0.11015779110760887,0.5354116229388465
54,146.90248107910156,-199.45291137695312,-1442.6190185546875,-0.5842076313646961,-0.7114474643553109,-0.39056875056467305,0.3166169087545482,-0.642882943223274,0.6974634430586987,-0.7472985859386898,0.28380279557287497,0.6008334184106735
55,146.05450439453125,-199.42147827148438,-1444.563232421875,-0.5804713684442543,-0.7038388404494851,-0.4094677973799395,0.30793330343687675,-0.6552564919177437,0.6897941797624161,-0.7538103680972472,0.2743169999733451,0.5970930517722649
56,143.3160858154297,-199.81617736816406,-1447.6810302734375,-0.5774108580462327,-0.7001092757596812,-0.42005202416554077,0.3127433104776758,-0.664902441263085,0.6783040360736872,-0.7541805637655862,0.2602916548751506,0.6028763817239634
57,147.3824005126953,-204.83836364746094,-1451.1278076171875,-0.6157224603928054,-0.6736737099789079,-0.4087169977516039,0.30480975826948664,-0.6819544844409527,0.664852684746457,-0.726620164206532,0.284783801565554,0.6252370137270697
